iter	RMSE
0	0.8879088748
1	0.8846963906
2	0.8813218102
3	0.8786571926
4	0.8757883984
5	0.8720688016
6	0.8697090851
7	0.8672286273
8	0.8661272194
9	0.8643253526
10	0.8621321477
11	0.8604541425
12	0.8581964724
13	0.8573003867
14	0.8564044461
15	0.8548835226
16	0.8535465341
17	0.851771903
18	0.8510334775
19	0.8493444066
20	0.8480743186
21	0.8474219012
22	0.8456650665
23	0.844027643
24	0.8432749405
25	0.8426536269
26	0.8418397924
27	0.8410496125
28	0.8399506823
29	0.8385194704
30	0.8381498448
31	0.8360949637
32	0.835583982
33	0.8342757139
34	0.8338090296
35	0.8324390037
36	0.8315501336
37	0.830725804
38	0.8299018303
39	0.8294880665
40	0.8279008791
41	0.827094742
42	0.8260684429
43	0.8259784044
44	0.8246121467
45	0.8233310122
46	0.8226801899
47	0.8216534815
48	0.8212143856
49	0.8204773575
50	0.8198574893
51	0.8186621042
52	0.8176688746
53	0.8169549686
54	0.8162858551
55	0.8156279136
56	0.8149180511
57	0.8141473941
58	0.8128493165
59	0.8122434105
60	0.8117042493
61	0.8110039963
62	0.8102900786
63	0.8098671045
64	0.8086591164
65	0.8081448727
66	0.8077941553
67	0.8074150017
68	0.8065045128
69	0.8061094054
70	0.8058537092
71	0.8049629727
72	0.8036866443
73	0.8031694432
74	0.8021156321
75	0.8012677253
76	0.8005116208
77	0.7998553093
78	0.7996253973
79	0.7988697569
80	0.798049093
81	0.7973847411
82	0.7961966703
83	0.7960439214
84	0.7956642702
85	0.7953284994
86	0.7949415539
87	0.7946153782
88	0.7939090938
89	0.7934484817
90	0.792251072
91	0.7915729893
92	0.7914247816
93	0.7910814216
94	0.7908692815
95	0.7905776792
96	0.790025541
97	0.7892817999
98	0.7889999362
99	0.7884813303
100	0.7879721215
101	0.7874157665
102	0.7869765308
103	0.7864201056
104	0.7859946981
105	0.7850933161
106	0.7846985244
107	0.7839331794
108	0.7833368852
109	0.7824230764
110	0.782244709
111	0.7817091675
112	0.7811955004
113	0.7806435002
114	0.7798649732
115	0.7794150093
116	0.7789819731
117	0.7784862191
118	0.7784461466
119	0.7777263982
120	0.7773571339
121	0.7772307552
122	0.7767242042
123	0.7766066993
124	0.7760556629
125	0.7756998687
126	0.7751751718
127	0.7750234214
128	0.7746071334
129	0.7740464301
130	0.7737804619
131	0.772759389
132	0.7718353897
133	0.7716893516
134	0.7713896372
135	0.7707695383
136	0.7703680235
137	0.7702280116
138	0.7697169616
139	0.769409921
140	0.7692347765
141	0.7680113475
142	0.7670098558
143	0.7665807342
144	0.7663628395
145	0.7655736885
146	0.7649653382
147	0.764084257
148	0.7636582915
149	0.7629073538
150	0.7625789079
151	0.7622405251
152	0.7617068616
153	0.7612839618
154	0.7610610153
155	0.7606016037
156	0.7599685611
157	0.759111014
158	0.7584796581
159	0.7582282145
160	0.7579685333
161	0.7572642215
162	0.7564347557
163	0.7559557557
164	0.7557658969
165	0.7550221058
166	0.7543609354
167	0.7540346123
168	0.7533008775
169	0.7529535094
170	0.7527227532
171	0.7521065748
172	0.7509935566
173	0.750678983
174	0.7496919848
175	0.7488648919
176	0.7482267981
177	0.7477373757
178	0.7466540439
179	0.7462492289
180	0.7460301662
181	0.7455913175
182	0.745229969
183	0.7448799957
184	0.74433441
185	0.7432634065
186	0.7429596588
187	0.7420356154
188	0.7413592187
189	0.7407905581
190	0.7404497559
191	0.7399354614
192	0.7390077816
193	0.7384659357
194	0.7380301366
195	0.7376665177
196	0.7371690373
197	0.736204648
198	0.7354947166
199	0.7349703663
200	0.7347320786
201	0.7338579854
202	0.7335933778
203	0.7333131323
204	0.7331171657
205	0.7327630483
206	0.732008842
207	0.7310789402
208	0.7309120182
209	0.7304270366
210	0.7297853093
211	0.7294188018
212	0.7289329452
213	0.7284344239
214	0.7275237414
215	0.7268503057
216	0.7265067752
217	0.7256143638
218	0.7244948564
219	0.7236458536
220	0.7231505891
221	0.7227064607
222	0.7215756256
223	0.720629761
224	0.7198698455
225	0.7192956234
226	0.7189040325
227	0.7185657464
228	0.7181334279
229	0.7176394013
230	0.7168105769
231	0.7164317972
232	0.715956118
233	0.7155151864
234	0.7147207653
235	0.7144618263
236	0.7140437946
237	0.7134378171
238	0.7124512807
239	0.7114902431
240	0.7110597145
241	0.7106498318
242	0.7103036982
243	0.7092885796
244	0.7084051243
245	0.7081871796
246	0.7073526811
247	0.7066200694
248	0.7062933034
249	0.7059537174
250	0.7052985368
251	0.7049810316
252	0.7042343567
253	0.7032652996
254	0.7030117225
255	0.7019636695
256	0.7013411903
257	0.701012107
258	0.7001909413
259	0.699756767
260	0.6992709987
261	0.6989396315
262	0.6980176356
263	0.6976035551
264	0.6973084178
265	0.6961283924
266	0.6960178626
267	0.6955529065
268	0.695085418
269	0.694863451
270	0.6945249456
271	0.6939809617
272	0.6932874159
273	0.6926392384
274	0.6919960445
275	0.6915178055
276	0.6908855937
277	0.6897751736
278	0.6895500727
279	0.6885066431
280	0.6877297979
281	0.6875835974
282	0.686399326
283	0.6861400317
284	0.6849762771
285	0.6848063552
286	0.6845882249
287	0.6836682715
288	0.683045285
289	0.6827613093
290	0.6823477754
291	0.6815758293
292	0.6808207772
293	0.6797672533
294	0.6794068475
295	0.6784755207
296	0.6774495165
297	0.6766990209
298	0.6760762645
299	0.6754136638
300	0.6747501791
301	0.6745864136
302	0.6738875591
