Open,High,Low,Close,MA 20,MA 20 close,STD 10 high,SMA_20,SMA_50,Close_Predictions,Command
8894.15,8950.0,8522.0,8871.96,7688.386375,7730.493499999999,681.6563094470703,7730.4935,6998.9262,9021.83,2
8871.92,9118.58,8760.0,9021.83,7797.692874999999,7850.522999999998,634.4406298787932,7850.522999999999,7078.783400000001,9142.92,2
9021.36,9395.0,8906.21,9142.92,7911.2432499999995,7952.571999999998,566.8497594962882,7952.571999999998,7155.389,9986.4,2
9143.4,10067.0,9021.0,9986.4,8035.832750000001,8100.514499999999,543.9082127206759,8100.5145,7247.2562,9800.01,2
9986.3,10035.96,9705.0,9800.01,8172.637875000002,8228.085000000001,398.2917610609086,8228.085,7320.008999999999,9539.4,2
9800.02,9914.25,9520.0,9539.4,8298.670125000002,8349.018,412.6692298693954,8349.018,7386.6298,8722.77,2
9539.1,9574.83,8117.0,8722.77,8399.101,8443.814999999999,415.1847417475742,8443.814999999999,7437.345600000001,8561.52,2
8722.77,9168.0,8200.0,8561.52,8490.10025,8529.822499999998,406.59516708391885,8529.822499999998,7492.2522,8810.79,2
8562.04,8978.26,8528.78,8810.79,8576.837625000004,8614.105,410.0747253318593,8614.105,7539.121800000001,9309.37,2
8810.99,9398.0,8792.99,9309.37,8663.660625,8705.454,402.7135403186735,8705.454,7590.4148,9791.98,2
9309.35,9939.0,9256.76,9791.98,8767.462750000002,8819.803,386.4368760302255,8819.803,7652.7058,9316.42,2
9791.97,9845.62,9150.0,9316.42,8866.516125000002,8908.6905,364.5298314761083,8908.6905,7704.286999999999,9381.27,2
9315.96,9588.0,9220.0,9381.27,8955.179875000002,8993.098999999998,356.51361381579795,8993.099,7764.7302,9680.04,2
9380.81,9888.0,9322.1,9680.04,9047.745,9088.369999999999,339.247668283807,9088.369999999999,7833.597999999999,9733.93,2
9681.11,9950.0,9464.23,9733.93,9146.215750000001,9188.1175,329.8881257699343,9188.1175,7910.648200000001,9775.53,2
9733.93,9897.21,9474.0,9775.53,9217.473000000002,9237.9655,328.4272912472409,9237.9655,7978.2712,9511.43,2
9775.13,9842.0,9326.0,9511.43,9257.410250000003,9282.536999999998,334.2621880036687,9282.537,8040.291,9068.65,2
9511.43,9578.47,8815.0,9068.65,9280.583375000002,9294.621499999997,295.5911462882473,9294.6215,8088.805600000001,9170.0,2
9067.51,9271.0,8933.52,9170.0,9291.599750000003,9304.518999999998,231.06098337884742,9304.519,8136.3238,9179.15,2
9170.0,9307.85,9070.0,9179.15,9303.453000000001,9318.768499999998,244.78848413477294,9318.7685,8185.2248,8720.34,2
9179.01,9298.0,8700.0,8720.34,9311.6935,9311.187499999998,260.0664433659213,9311.1875,8222.4918,8900.35,2
8718.14,8979.66,8642.72,8900.35,9305.050249999998,9305.1135,317.26690017869805,9305.1135,8265.0432,8841.18,2
8900.35,9017.67,8700.0,8841.18,9292.471625,9290.026499999998,356.00768672038515,9290.026500000002,8295.2688,9204.07,2
8841.0,9225.0,8811.73,9204.07,9265.771625,9250.91,339.48464855424595,9250.91,8335.4038,9575.89,2
9204.07,9625.47,9110.0,9575.89,9240.623624999998,9239.703999999998,302.3432536058972,9239.704000000002,8379.696,9427.07,2
9575.87,9605.26,9330.0,9427.07,9230.180249999998,9234.0875,265.13703663577434,9234.087500000001,8422.5666,9697.72,2
9426.6,9740.0,9331.23,9697.72,9258.203375,9282.835,248.41091641874345,9282.835000000001,8479.3426,9448.27,2
9697.72,9700.0,9381.41,9448.27,9302.892249999999,9327.1725,261.20831048992295,9327.1725,8530.7714,10200.77,2
9448.27,10380.0,9421.67,10200.77,9360.027749999997,9396.671499999999,394.22108983285,9396.6715,8596.711,9518.04,2
10202.71,10228.99,9266.0,9518.04,9396.332625,9407.105,445.6529762999457,9407.105,8650.3136,9666.24,2
9518.02,9690.0,9365.21,9666.24,9395.612374999999,9400.818,436.26499204611866,9400.818,8706.2644,9789.06,2
9666.32,9881.63,9450.0,9789.06,9404.149875,9424.449999999999,384.9370751642403,9424.45,8769.620799999999,9621.16,2
9788.14,9854.75,9581.0,9621.16,9420.897625,9436.4445,308.9220139452674,9436.4445,8820.0052,9666.3,2
9621.17,9735.0,9531.05,9666.3,9424.42975,9435.7575,246.76829354680066,9435.757500000002,8872.780200000001,9746.99,2
9666.85,9802.0,9372.46,9746.99,9421.417625,9436.4105,236.60080841155207,9436.4105,8922.748,9782.01,2
9746.99,9800.0,9633.0,9782.01,9422.43425,9436.7345,222.26739252755897,9436.7345,8975.973399999999,9772.43,2
9782.0,9877.0,9570.0,9772.43,9429.270125000003,9449.784500000002,217.30648858467154,9449.7845,9034.8854,9885.0,2
9772.44,9992.72,9704.18,9885.0,9459.030000000002,9490.602,208.6177559772897,9490.602,9095.758,9280.4,2
9885.22,9964.0,9113.0,9280.4,9481.537375000002,9496.122,145.51493706489367,9496.122,9138.8632,9465.13,2
9278.88,9557.12,9232.51,9465.13,9491.620375,9510.421,123.51855381277716,9510.421,9178.518,9473.34,2
9464.96,9494.73,9351.0,9473.34,9515.203875,9548.071,153.5799384197036,9548.071,9217.8848,9342.1,2
9473.34,9480.99,9245.0,9342.1,9543.960874999999,9570.158500000001,176.53084792466151,9570.158500000001,9253.9534,9426.02,2
9342.1,9495.0,8910.45,9426.02,9565.390499999998,9599.4005,188.92782707690247,9599.4005,9288.611799999999,9525.59,2
9426.05,9589.0,9373.09,9525.59,9588.289624999996,9615.4765,192.79512194036437,9615.4765,9323.6312,9465.14,2
9526.97,9565.0,9236.61,9465.14,9591.768249999997,9609.938999999998,194.0090292847216,9609.939,9358.154400000001,9386.32,2
9465.13,9489.0,9280.0,9386.32,9587.796374999994,9607.901499999998,197.4263828468727,9607.9015,9370.3094,9310.23,2
9386.32,9438.3,9215.79,9310.23,9577.234999999997,9588.527,190.84391052375756,9588.526999999998,9384.114,9358.95,2
9310.23,9395.0,9170.95,9358.95,9564.831624999995,9584.061,149.71847963427902,9584.061,9394.7538,9294.69,2
