Sınıf 9 Notu,Sınıf 10 Notu,Sınıf 11 Notu,pas1,pas2,pas5,pas7,pas10,pas13,pas15,pas16,pas18,pas20,pas23,pas24,pas25,pas26,pas29,pas32,pas33,pas34,pas37,pas38,pas39,pas40,CE-AC,lst,pass,Not Ortalaması aps
4.0,3.431888544891641,4.098290598290598,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,4.0,2.0,5.0,3.0,-5.0,4,1,8
1.0,3.431888544891641,4.098290598290598,5.0,4.0,3.0,5.0,4.0,2.0,5.0,2.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,2.0,4.0,2.0,4.0,3.0,2.0,4.0,-12.0,3,-1,2
3.0,3.431888544891641,4.098290598290598,3.0,5.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,4.0,2.0,1.0,4.0,3.0,3.0,2.0,4.0,3.0,-6.0,4,1,6
2.0,3.431888544891641,4.098290598290598,5.0,3.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,1.0,5.0,2.0,1.0,5.0,4.0,4.0,3.0,3.0,4.0,-2.0,4,-1,4
2.0,3.431888544891641,4.098290598290598,4.0,5.0,4.0,4.0,2.0,4.0,4.0,2.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,-13.0,3,1,4
2.0,3.431888544891641,4.098290598290598,3.0,4.0,2.0,4.0,5.0,1.0,5.0,1.0,5.0,2.0,3.0,2.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,-7.0,4,0,4
1.0,3.431888544891641,4.098290598290598,4.0,5.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,4.0,3.0,3.0,2.0,3.0,4.0,-5.0,3,1,2
1.0,3.431888544891641,4.098290598290598,3.0,1.0,3.0,3.0,3.0,4.0,5.0,1.0,5.0,3.0,4.0,1.0,2.0,1.0,5.0,3.0,4.0,5.0,4.0,1.0,1.0,5.0,-15.0,3,-1,2
1.0,3.431888544891641,4.098290598290598,2.0,1.0,4.0,1.0,2.0,3.0,1.0,2.0,2.0,1.0,4.0,5.0,5.0,4.0,1.0,3.0,1.0,1.0,1.0,1.0,3.0,1.0,-10.0,4,2,2
2.0,3.431888544891641,4.098290598290598,2.0,3.0,4.0,3.0,5.0,3.0,2.0,3.0,1.0,5.0,2.0,4.0,1.0,1.0,4.0,3.0,5.0,5.0,5.0,2.0,4.0,5.0,-3.0,3,0,4
1.0,3.431888544891641,4.098290598290598,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,26.0,1,0,2
1.0,3.431888544891641,4.098290598290598,5.0,3.0,2.0,3.0,4.0,1.0,5.0,4.0,1.0,5.0,4.0,1.0,3.0,2.0,4.0,3.0,5.0,5.0,4.0,3.0,2.0,5.0,0.000244140625,2,-1,2
0.0,3.431888544891641,4.098290598290598,3.0,1.0,3.0,4.0,4.0,1.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,-12.0,4,1,0
1.0,3.431888544891641,4.098290598290598,4.0,4.0,4.0,4.0,4.0,1.0,5.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,4.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,-5.0,3,-1,2
1.0,3.431888544891641,4.098290598290598,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,4.0,5.0,4.0,3.0,5.0,1.0,3.0,4.0,1.0,1,1,2
1.0,3.431888544891641,4.098290598290598,4.0,3.0,1.0,5.0,4.0,3.0,5.0,2.0,2.0,5.0,1.0,3.0,1.0,5.0,3.0,1.0,4.0,2.0,5.0,3.0,2.0,4.0,-2.0,4,-1,2
2.0,3.431888544891641,4.098290598290598,4.0,4.0,1.0,5.0,5.0,1.0,3.0,2.0,1.0,5.0,4.0,1.0,3.0,2.0,4.0,1.0,5.0,5.0,5.0,3.0,2.0,2.0,-4.0,3,-1,4
1.0,3.431888544891641,4.098290598290598,5.0,4.0,4.0,4.0,4.0,5.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,5.0,1.0,2.0,3.0,4.0,5.0,1.0,2.0,4.0,1.0,2,1,2
0.0,3.431888544891641,4.098290598290598,3.0,2.0,3.0,3.0,5.0,1.0,5.0,1.0,1.0,3.0,1.0,1.0,3.0,1.0,3.0,1.0,5.0,5.0,5.0,5.0,1.0,3.0,7.0,2,-1,0
