Sınıf 9 Notu,Sınıf 10 Notu,Sınıf 11 Notu,pas1,pas2,pas5,pas7,pas10,pas13,pas15,pas16,pas18,pas20,pas23,pas24,pas25,pas26,pas29,pas32,pas33,pas34,pas37,pas38,pas39,pas40,CE-AC,lst,pass,Not Ortalaması aps
3.0,3.431888544891641,4.098290598290598,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,2.0,2.0,2.0,4.0,4.0,2.0,4.0,-3.0,3,1,6
2.0,3.431888544891641,4.098290598290598,4.0,5.0,3.0,4.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,4.0,3.0,4.0,1.0,4.0,3.0,5.0,3.0,3.0,4.0,-8.0,3,-1,4
2.0,3.431888544891641,4.098290598290598,1.0,2.0,5.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,2.0,4.0,4.0,1.0,3.0,1.0,4.0,1.0,-18.0,3,2,4
2.0,3.431888544891641,4.098290598290598,4.0,3.0,3.0,5.0,3.0,3.0,4.0,4.0,2.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,2.0,3.0,4.0,4.0,1,-1,4
1.0,3.431888544891641,4.098290598290598,3.0,4.0,2.0,3.0,4.0,1.0,3.0,1.0,2.0,3.0,3.0,1.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,1.0,4.0,3.0,-12.0,4,1,2
2.0,3.431888544891641,4.098290598290598,5.0,5.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,4.0,2.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,6.0,2,-1,4
3.0,3.431888544891641,4.098290598290598,3.0,4.0,2.0,3.0,3.0,3.0,4.0,2.0,1.0,4.0,2.0,4.0,3.0,3.0,5.0,1.0,4.0,3.0,5.0,4.0,1.0,5.0,-20.0,3,-1,6
3.0,3.431888544891641,4.098290598290598,4.0,3.0,4.0,2.0,3.0,2.0,1.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,1.0,4.0,4.0,2.0,3.0,2.0,4.0,1.0,-7.0,4,1,6
2.0,3.431888544891641,4.098290598290598,3.0,4.0,2.0,3.0,3.0,1.0,3.0,1.0,1.0,3.0,1.0,1.0,2.0,2.0,1.0,1.0,1.0,4.0,2.0,1.0,2.0,4.0,-3.0,3,-1,4
3.0,3.431888544891641,4.098290598290598,3.0,4.0,5.0,2.0,3.0,4.0,4.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,4.0,4.0,-11.0,4,1,6
3.0,3.431888544891641,4.098290598290598,1.0,2.0,4.0,2.0,2.0,5.0,1.0,4.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,2.0,2.0,1.0,1.0,5.0,1.0,-14.0,4,2,6
4.0,3.431888544891641,4.098290598290598,2.0,3.0,5.0,2.0,2.0,5.0,3.0,4.0,5.0,2.0,5.0,4.0,5.0,5.0,1.0,3.0,3.0,1.0,2.0,2.0,5.0,3.0,-15.0,3,2,8
4.0,3.431888544891641,4.098290598290598,1.0,5.0,5.0,1.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,1.0,5.0,1.0,-23.0,3,2,8
3.0,3.431888544891641,4.098290598290598,4.0,3.0,4.0,2.0,3.0,2.0,4.0,3.0,2.0,3.0,3.0,2.0,4.0,4.0,2.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,-21.0,4,1,6
2.0,3.431888544891641,4.098290598290598,4.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,1.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,5.0,5.0,5.0,4.0,2.0,5.0,-13.0,3,-1,4
3.0,3.431888544891641,4.098290598290598,2.0,4.0,5.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,4.0,3.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,-2.0,3,1,6
1.0,3.431888544891641,4.098290598290598,3.0,3.0,2.0,4.0,4.0,2.0,4.0,2.0,2.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,-8.0,4,-1,2
3.0,3.431888544891641,4.098290598290598,3.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,3.0,4.0,4.0,4.0,5.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,4.0,-23.0,3,1,6
3.0,3.431888544891641,4.098290598290598,2.0,3.0,3.0,1.0,3.0,2.0,1.0,5.0,3.0,3.0,3.0,1.0,4.0,4.0,1.0,5.0,2.0,4.0,3.0,2.0,2.0,4.0,-7.0,4,1,6
1.0,3.431888544891641,4.098290598290598,3.0,3.0,5.0,2.0,3.0,5.0,3.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,-14.0,4,1,2
2.0,3.431888544891641,4.098290598290598,2.0,1.0,4.0,2.0,2.0,4.0,3.0,4.0,3.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,2.0,-14.0,3,1,4
4.0,3.431888544891641,4.098290598290598,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,3.0,2.0,2.0,3.0,3.0,4.0,3.0,-2.0,4,1,8
3.0,3.431888544891641,4.098290598290598,4.0,5.0,2.0,3.0,4.0,2.0,1.0,4.0,2.0,5.0,2.0,1.0,3.0,4.0,2.0,2.0,5.0,3.0,5.0,4.0,2.0,5.0,-12.0,4,-1,6
3.0,3.431888544891641,4.098290598290598,2.0,3.0,4.0,2.0,3.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,3.0,-17.0,3,1,6
3.0,3.431888544891641,4.098290598290598,2.0,4.0,4.0,2.0,1.0,3.0,1.0,3.0,5.0,3.0,3.0,3.0,5.0,5.0,1.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,-35.0,3,2,6
3.0,3.431888544891641,4.098290598290598,3.0,4.0,4.0,3.0,4.0,3.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,2.0,3.0,3.0,2.0,4.0,2.0,4.0,1.0,-12.0,3,1,6
3.0,3.431888544891641,4.098290598290598,2.0,4.0,3.0,2.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,-11.0,4,1,6
5.0,4.0,4.098290598290598,3.0,4.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,3.0,2.0,4.0,3.0,-29.0,3,1,9
5.0,2.0,4.098290598290598,2.0,2.0,4.0,1.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,5.0,1.0,-22.0,3,2,7
4.0,2.0,4.098290598290598,3.0,4.0,2.0,3.0,4.0,3.0,5.0,2.0,1.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,4.0,3.0,4.0,4.0,3.0,3.0,-2.0,3,-1,6
4.0,3.0,4.098290598290598,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,5.0,1.0,5.0,4.0,5.0,5.0,2.0,3.0,2.0,2.0,5.0,1.0,5.0,1.0,-17.0,3,2,7
4.0,3.0,4.098290598290598,2.0,2.0,4.0,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,3.0,5.0,5.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,-22.0,3,1,7
3.0,2.0,4.098290598290598,2.0,4.0,4.0,2.0,5.0,5.0,4.0,5.0,3.0,2.0,5.0,5.0,5.0,5.0,2.0,2.0,3.0,1.0,4.0,2.0,5.0,3.0,-9.0,4,1,5
5.0,4.0,4.098290598290598,2.0,2.0,5.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,5.0,1.0,5.0,5.0,1.0,5.0,2.0,2.0,2.0,2.0,5.0,1.0,-17.0,4,2,9
5.0,2.0,4.098290598290598,2.0,3.0,4.0,2.0,2.0,4.0,4.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,-13.0,3,1,7
5.0,3.0,4.098290598290598,2.0,2.0,4.0,2.0,2.0,4.0,1.0,4.0,4.0,1.0,4.0,5.0,5.0,5.0,1.0,4.0,2.0,2.0,2.0,1.0,5.0,1.0,-10.0,3,2,8
5.0,1.0,4.098290598290598,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,4.0,2.0,4.0,5.0,1.0,3.0,4.0,3.0,4.0,3.0,4.0,3.0,-2.0,4,1,6
3.0,1.0,4.098290598290598,2.0,3.0,4.0,2.0,2.0,5.0,3.0,4.0,4.0,2.0,5.0,4.0,5.0,5.0,2.0,4.0,2.0,2.0,3.0,2.0,4.0,3.0,-16.0,3,1,4
4.0,1.0,4.098290598290598,1.0,2.0,4.0,1.0,1.0,4.0,1.0,4.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,5.0,1.0,-12.0,3,2,5
5.0,3.0,4.098290598290598,2.0,4.0,4.0,1.0,2.0,4.0,2.0,3.0,3.0,3.0,4.0,4.0,5.0,4.0,2.0,4.0,3.0,2.0,2.0,4.0,3.0,3.0,-7.0,3,1,8
4.0,2.0,4.098290598290598,2.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,2.0,4.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,2.0,4.0,3.0,-7.0,3,1,6
3.0,2.0,4.098290598290598,2.0,2.0,4.0,2.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,-12.0,3,2,5
4.0,2.0,4.098290598290598,2.0,1.0,4.0,4.0,2.0,4.0,2.0,4.0,4.0,2.0,4.0,4.0,5.0,5.0,5.0,3.0,2.0,2.0,1.0,4.0,2.0,2.0,-8.0,3,1,6
5.0,3.0,4.098290598290598,2.0,4.0,5.0,1.0,2.0,4.0,2.0,4.0,3.0,2.0,5.0,4.0,4.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,1.0,-13.0,4,1,8
4.0,1.0,4.098290598290598,3.0,4.0,4.0,2.0,3.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,2.0,2.0,4.0,1.0,-9.0,3,1,5
4.0,3.0,4.098290598290598,2.0,2.0,4.0,1.0,2.0,5.0,3.0,4.0,3.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,1.0,2.0,2.0,2.0,4.0,2.0,-8.0,3,2,7
4.0,2.0,4.098290598290598,2.0,3.0,4.0,2.0,2.0,4.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,2.0,4.0,2.0,2.0,2.0,2.0,4.0,2.0,-12.0,4,2,6
3.0,1.0,4.098290598290598,3.0,4.0,2.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,4.0,5.0,5.0,2.0,5.0,3.0,2.0,3.0,2.0,4.0,4.0,-15.0,3,1,4
3.0,1.0,4.098290598290598,2.0,2.0,4.0,2.0,3.0,4.0,3.0,4.0,4.0,2.0,4.0,3.0,5.0,4.0,1.0,4.0,3.0,2.0,3.0,2.0,4.0,2.0,-3.0,3,1,4
5.0,4.0,4.098290598290598,2.0,5.0,5.0,2.0,1.0,5.0,1.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,2.0,4.0,3.0,1.0,2.0,1.0,5.0,1.0,-15.0,3,2,9
5.0,4.0,4.098290598290598,1.0,2.0,5.0,1.0,2.0,5.0,2.0,5.0,4.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,3.0,1.0,1.0,2.0,5.0,2.0,-1.0,3,2,9
4.0,2.0,4.098290598290598,2.0,4.0,2.0,4.0,2.0,4.0,1.0,2.0,2.0,4.0,2.0,4.0,4.0,4.0,2.0,5.0,3.0,1.0,3.0,1.0,1.0,2.0,-22.0,3,1,6
5.0,3.0,4.098290598290598,1.0,1.0,5.0,1.0,3.0,1.0,1.0,5.0,5.0,1.0,5.0,2.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,1.0,5.0,1.0,-9.0,4,2,8
4.0,1.0,4.098290598290598,2.0,2.0,5.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,4.0,4.0,5.0,5.0,1.0,5.0,3.0,2.0,1.0,1.0,5.0,1.0,-9.0,4,2,5
4.0,3.0,4.098290598290598,1.0,2.0,4.0,1.0,4.0,5.0,1.0,3.0,4.0,3.0,5.0,5.0,5.0,5.0,1.0,5.0,2.0,1.0,2.0,2.0,5.0,1.0,-9.0,4,2,7
5.0,4.0,4.098290598290598,2.0,1.0,5.0,1.0,1.0,4.0,1.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,1.0,5.0,1.0,1.0,2.0,1.0,5.0,1.0,-28.0,4,2,9
4.0,2.0,4.098290598290598,3.0,2.0,4.0,3.0,4.0,5.0,1.0,3.0,5.0,2.0,5.0,3.0,5.0,5.0,1.0,5.0,1.0,1.0,1.0,1.0,5.0,2.0,-6.0,3,2,6
4.0,3.0,4.098290598290598,2.0,2.0,5.0,2.0,2.0,5.0,2.0,4.0,5.0,2.0,4.0,4.0,5.0,4.0,1.0,5.0,4.0,2.0,4.0,2.0,4.0,1.0,-19.0,3,2,7
4.0,2.0,4.098290598290598,2.0,4.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,2.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,2.0,1.0,4.0,3.0,1.0,-11.0,4,1,6
1.0,3.431888544891641,4.098290598290598,4.0,4.0,2.0,3.0,4.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,-4.0,4,1,2
3.0,3.431888544891641,4.098290598290598,4.0,5.0,4.0,3.0,4.0,5.0,4.0,4.0,1.0,2.0,2.0,5.0,4.0,4.0,2.0,2.0,2.0,5.0,3.0,2.0,5.0,4.0,-2.0,3,1,6
